scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
300247,融捷健康,A股,深交所创业板,2019-05-24T00:00:00,2018-03-31T00:00:00,0.0312,-,261725593.27,17.1497,-43.1869,25111969.86,52.895,41.0457,1.02,3.05490355,-0.075139,28.329,机械行业,-,-,058001001,069001002002,2018-04-27T00:00:00
300669,沪宁股份,A股,深交所创业板,2019-05-24T00:00:00,2018-03-31T00:00:00,0.0622,-,45108410.16,-1.3866,-30.0863,5241078.81,-12.977,-23.0619,1.18,5.3222029,0.091423,30.1619,机械行业,-,-,058001001,069001002002,2018-04-26T00:00:00
300538,同益股份,A股,深交所创业板,2019-05-23T00:00:00,2018-03-31T00:00:00,0.14,-,284417135.39,32.5103,1.0262,7812798.56,42.1146,2.9873,1.95,7.17856484,0.262469,10.7838,化工行业,-,-,058001001,069001002002,2018-04-20T00:00:00
300317,珈伟新能,A股,深交所创业板,2019-05-23T00:00:00,2018-03-31T00:00:00,0.0302,-,473790242.81,-30.1068,-23.243,25820303.52,-73.6714,44.4262,0.52,5.79190923,-0.133788,30.7496,电子元件,-,-,058001001,069001002002,2018-04-27T00:00:00
300287,飞利信,A股,深交所创业板,2019-05-23T00:00:00,2018-03-31T00:00:00,0.07,-,538110960.07,52.7364,-26.3359,98040792.07,39.7291,24.9825,1.67,4.11469746,-0.141536,38.3256,软件服务,-,-,058001001,069001002002,2018-04-27T00:00:00
300414,中光防雷,A股,深交所创业板,2019-05-22T00:00:00,2018-03-31T00:00:00,0.0641,-,87796485.7,32.108,-21.7439,10951909.1,35.3725,42.7473,1.35,4.6938051,0.086036,32.7099,电子元件,-,-,058001001,069001002002,2018-04-27T00:00:00
300530,达志科技,A股,深交所创业板,2019-05-22T00:00:00,2018-03-31T00:00:00,0.14,-,33210631.81,0.0294,-4.8535,9902192.84,-16.3856,-3.6907,2.0,7.15046314,-0.02755,45.8268,化工行业,-,-,058001001,069001002002,2018-04-24T00:00:00
300421,力星股份,A股,深交所创业板,2019-05-22T00:00:00,2018-03-31T00:00:00,0.135,-,162938123.2,7.2539,-14.5498,18032265.53,2.1785,-18.3361,1.53,8.89079959,0.108002,26.6337,金属制品,-,-,058001001,069001002002,2018-04-27T00:00:00
002714,牧原股份,A股,深交所中小板,2019-05-22T00:00:00,2018-03-31T00:00:00,0.07,-,2755526839.54,40.0277,-4.497,136037497.74,-79.9956,-75.4142,1.06,8.98859357,-0.184895,13.0658,农牧饲渔,-,-,058001001,069001002003,2018-04-20T00:00:00
600145,*ST新亿,A股,上交所风险警示板,2019-05-22T00:00:00,2018-03-31T00:00:00,0.0066,-,13385359.08,-,135756.6614158834,9856348.06,-551.6282,-117.6952,1.57,0.41888539,-0.000552,9.6455,玻璃陶瓷,-,-,058001001,069001001003,2018-04-28T00:00:00
002955,鸿合科技,A股,深交所中小板,2019-05-22T00:00:00,2018-03-31T00:00:00,0.19,0.0018,575679597.94,-,-,19919827.77,-,-,2.65,-,-1.94,22.3758,文教休闲,-,-,058001001,069001002003,2019-05-22T00:00:00
